LocationType	County	Lat	Long
County	Aberdeenshire	57.26782	-2.552379
County	Angus	56.741998	-2.92882
County	Argyll	56.214486	-5.440925
County	Avon	51.441888	-2.542862
County	Ayrshire	55.398644	-4.488025
County	Banffshire	57.543401	-3.048977
County	Bedfordshire	52.04539	-0.485929
County	Berkshire	51.487286	-1.229977
County	Berwickshire	55.795247	-2.318427
County	Buckinghamshire	51.846509	-0.838892
County	Bute	55.825151	-5.085244
County	Cambridgeshire	52.337321	0.042956
County	Carmarthenshire	51.900122	-4.138432
County	Ceredigion	52.245493	-4.019789
County	Cheshire	53.222748	-2.573531
County	Cleveland	54.549219	-1.205448
County	Clwyd	53.131569	-3.387122
County	Clyde Valley	55.689031	-3.873787
County	Cornwall	50.419252	-4.805055
County	Cornwall and Isles of Scilly	50.419252	-4.805055
County	Cumbria	54.570047	-2.806518
County	Derbyshire	53.163284	-1.55094
County	Devon	50.764521	-3.756273
County	Dorset	50.794859	-2.288693
County	Dumbartonshire	55.98354	-4.519078
County	Dumfries & Galloway	55.100821	-3.896247
County	Dumfriesshire	55.100821	-3.896247
County	Durham	54.703805	-1.803232
County	Dyfed	52.089816	-4.095032
County	East Lothian	55.978197	-2.752618
County	East Riding and North Lincolnshire	53.786071	-0.567231
County	East Sussex	50.950494	0.291813
County	East Yorkshire	53.903254	-0.502985
County	Essex	51.779171	0.554459
County	Gloucestershire	51.8182	-2.136444
County	Greater London	51.500257	-0.107934
County	Greater Manchester	53.516226	-2.300165
County	Gwent	51.744687	-2.902416
County	Gwynedd	52.894274	-3.984641
County	Hampshire	51.079018	-1.255443
County	Hereford & Worcester	52.14299	-2.461125
County	Herefordshire	52.135671	-2.761936
County	Hertford	51.828478	-0.188775
County	Inverness-shire	57.227139	-4.684922
County	Isle of Wight	50.679729	-1.28946
County	Kent	51.21241	0.669836
County	Kincardineshire	56.973607	-2.574482
County	Kirkcudbright	54.975786	-4.048943
County	Lanarkshire	55.829851	-3.858795
County	Lancashire	53.887385	-2.655531
County	Leicestershire and Rutland	52.681247	-1.069054
County	Lincolnshire	53.085755	-0.242435
County	Lothian	55.88526	-3.191148
County	Merseyside	53.432067	-2.900988
County	Mid Glamorgan	51.581611	-3.351167
County	Moray	57.455181	-3.217052
County	Nairn	57.530874	-3.862594
County	Norfolk	52.663712	0.92202
County	North Yorkshire	54.207746	-1.506732
County	Northamptonshire	52.326899	-0.849359
County	Northern Ireland	54.634701	-6.667639
County	Northumberland	55.275399	-2.055905
County	Nottinghamshire	53.152195	-0.980731
County	Oxfordshire	51.77029	-1.3676
County	Pembrokeshire	51.851519	-4.899405
County	Perth	56.396937	-3.609362
County	Powys	52.371127	-3.406622
County	Renfrew	55.855925	-4.527366
County	Roxburgh	55.622893	-2.532329
County	Shropshire	52.649343	-2.731586
County	Somerset	51.069683	-2.969358
County	South Glamorgan	51.447397	-3.37696
County	South Yorkshire	53.47289	-1.290429
County	Staffordshire	52.820568	-1.990665
County	Suffolk	52.20528	1.048067
County	Surrey	51.257431	-0.380277
County	Warwickshire	52.25615	-1.493018
County	West Glamorgan	51.695449	-3.846528
County	West Lothian	55.893428	-3.571871
County	West Midlands	52.517204	-1.895288
County	West Sussex	50.97117	-0.466172
County	West Yorkshire	53.752488	-1.688826
County	Wigtown	54.955433	-4.758831
County	Wiltshire	51.323733	-1.917446
County	Worcestershire	52.247608	-2.191106
