Submission,Sample,GenomeCov,MeanDepth,pcMapped,group,Ncount,ResultLoc
AF-12-00206-21,AF-12-00206-21,99.83,80.09,94.41,B6-11,57746,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-12-00226-21,AF-12-00226-21,99.77,53.52,99.66,B6-11,57694,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-12-00229-21,AF-12-00229-21,99.83,72.69,97.22,B6-11,57646,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-12-01295-20,AF-12-01295-20,99.87,101.6,96.05,B6-11,55799,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01331-20,AF-12-01331-20,99.82,106.05,97.02,B6-11,57773,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01360-20,AF-12-01360-20,99.85,81.69,90.26,B6-11,57128,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01362-20,AF-12-01362-20,99.88,43.68,80.17,B6-11,55510,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01363-20,AF-12-01363-20,99.79,75.92,98.91,B6-11,57763,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01364-20,AF-12-01364-20,99.83,61.92,82.73,B6-11,57811,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01371-20,AF-12-01371-20,99.8,90.94,99.07,B6-11,57767,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01399-20,AF-12-01399-20,99.83,94.63,98.03,B6-11,56980,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01403-20,AF-12-01403-20,99.91,84.59,74.29,B6-11,54509,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-12-01410-20,AF-12-01410-20,99.82,81.66,90.24,B6-11,57763,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-21-05073-21,AF-21-05073-21,99.82,75.01,94.13,B6-11,57695,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-21-05117-21,AF-21-05117-21,99.79,70.7,99.71,B6-11,57777,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-21-05122-21,AF-21-05122-21,99.79,61.11,99.75,B6-11,58532,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-21-05125-21,AF-21-05125-21,99.82,66.46,99.23,B6-11,57839,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-21-05200-21,AF-21-05200-21,99.75,39.19,99.72,B6-11,58635,s3://s3-csu-003/v3-2/Results_10309_27Jun22/
AF-21-05599-20,AFH2-21-05599-20,99.86,107.77,71.96,B6-11,55789,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-21-05797-20,AF-21-05797-20,99.95,87.13,96.67,B6-11,51436,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-21-05804-20,AF-21-05804-20,99.81,145.2,83.34,B6-11,58464,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-21-05810-20,AF-21-05810-20,99.81,115.86,97.55,B6-11,58511,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-61-03547-20,AF-61-03547-20,99.78,110.3,99.57,B6-11,57765,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-61-03638-20,AF-61-03638-20,99.78,102.63,99.43,B6-11,57859,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-61-03703-20,AF-61-03703-20,99.81,143.19,96.94,B6-11,57746,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
AF-61-03735-20,AF-61-03735-20,99.81,134.46,99.36,B6-11,57765,s3://s3-csu-003/v3-2/Results_10287_27Jun22/
